Codigo Secção,Secção,Código Divisão,Divisão,Código Grupo,Grupo,Código Classe,Classe,Código Subclasse,Subclasse
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,01.1 Produção de lavouras temporárias,01.11-3 Cultivo de cereais,01.11-3 Cultivo de cereais,0111-3/01,0111-3/01 Cultivo de arroz
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,01.1 Produção de lavouras temporárias,01.12-1 Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,01.12-1 Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,0112-1/01,0112-1/01 Cultivo de algodão herbáceo
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,01.1 Produção de lavouras temporárias,01.13-0 Cultivo de cana-de-açúcar,01.13-0 Cultivo de cana-de-açúcar,0113-0/00,0113-0/00 Cultivo de cana de açúcar
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,01.1 Produção de lavouras temporárias,01.14-8 Cultivo de fumo,01.14-8 Cultivo de fumo,0114-8/00,0114-8/00 Cultivo de fumo
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,01.1 Produção de lavouras temporárias,01.15-6 Cultivo de soja,01.15-6 Cultivo de soja,0115-6/00,0115-6/00 Cultivo de soja
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,01.1 Produção de lavouras temporárias,"01.16-4 Cultivo de oleaginosas de lavoura temporária, exceto soja","01.16-4 Cultivo de oleaginosas de lavoura temporária, exceto soja",0116-4/01,0116-4/01 Cultivo de amendoim
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,01.1 Produção de lavouras temporárias,01.19-9 Cultivo de plantas de lavoura temporária não especificadas anteriormente,01.19-9 Cultivo de plantas de lavoura temporária não especificadas anteriormente,0119-9/01,0119-9/01 Cultivo de abacaxi
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,01.1 Produção de lavouras temporárias,01.11-3 Cultivo de cereais,01.11-3 Cultivo de cereais,0111-3/01,0111-3/01 Cultivo de arroz
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,01.1 Produção de lavouras temporárias,01.12-1 Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,01.12-1 Cultivo de algodão herbáceo e de outras fibras de lavoura temporária,0112-1/01,0112-1/01 Cultivo de algodão herbáceo
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,01.1 Produção de lavouras temporárias,01.13-0 Cultivo de cana-de-açúcar,01.13-0 Cultivo de cana-de-açúcar,0113-0/00,0113-0/00 Cultivo de cana de açúcar
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.1,01.1 Produção de lavouras temporárias,01.14-8 Cultivo de fumo,01.14-8 Cultivo de fumo,0114-8/00,0114-8/00 Cultivo de fumo
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.3,01.3 Produção de lavouras permanentes,01.31-8 Cultivo de laranja,01.31-8 Cultivo de laranja,0131-8/00,0131-8/00 Cultivo de laranja
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.3,01.3 Produção de lavouras permanentes,01.32-6 Cultivo de uva,01.32-6 Cultivo de uva,0132-6/00,0132-6/00 Cultivo de uva
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.3,01.3 Produção de lavouras permanentes,"01.33-4 Cultivo de frutas de lavoura permanente, exceto laranja e uva","01.33-4 Cultivo de frutas de lavoura permanente, exceto laranja e uva",0133-4/01,0133-4/01 Cultivo de açaí
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.3,01.3 Produção de lavouras permanentes,01.34-2 Cultivo de café,01.34-2 Cultivo de café,0134-2/00,0134-2/00 Cultivo de café
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.3,01.3 Produção de lavouras permanentes,01.35-1 Cultivo de cacau,01.35-1 Cultivo de cacau,0135-1/00,0135-1/00 Cultivo de cacau
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.3,01.3 Produção de lavouras permanentes,01.39-3 Cultivo de plantas de lavoura permanente não especificadas anteriormente,01.39-3 Cultivo de plantas de lavoura permanente não especificadas anteriormente,0139-3/01,0139-3/01 Cultivo de chá da índia
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.4,01.4 Produção de sementes e mudas certificadas,01.41-5 Produção de sementes certificadas,01.41-5 Produção de sementes certificadas,0141-5/01,"0141-5/01 Produção de sementes certificadas, exceto de forrageiras para pasto"
A,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",01,"01 AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS",01.4,01.4 Produção de sementes e mudas certificadas,"01.42-3 Produção de mudas e outras formas de propagação vegetal, certificadas","01.42-3 Produção de mudas e outras formas de propagação vegetal, certificadas",0142-3/00,"0142-3/00 Produção de mudas e outras formas de propagação vegetal, certificadas"
